# YEAR,STATE,DISTRICT
2010, Uttar Pradesh, Auraiya
2011, Uttar Pradesh, Auraiya
2012, Uttar Pradesh, Auraiya
2013, Uttar Pradesh, Auraiya
2014, Uttar Pradesh, Auraiya
2015, Uttar Pradesh, Auraiya
2016, Uttar Pradesh, Auraiya
2010, Uttar Pradesh, Chandauli
2011, Uttar Pradesh, Chandauli
2012, Uttar Pradesh, Chandauli
2013, Uttar Pradesh, Chandauli
2014, Uttar Pradesh, Chandauli
2015, Uttar Pradesh, Chandauli
2016, Uttar Pradesh, Chandauli
2010, Uttar Pradesh, Kannauj
2011, Uttar Pradesh, Kannauj
2012, Uttar Pradesh, Kannauj
2013, Uttar Pradesh, Kannauj
2014, Uttar Pradesh, Kannauj
2015, Uttar Pradesh, Kannauj
2016, Uttar Pradesh, Kannauj
2010, Uttar Pradesh, Kanpur Dehat
2011, Uttar Pradesh, Kanpur Dehat
2012, Uttar Pradesh, Kanpur Dehat
2013, Uttar Pradesh, Kanpur Dehat
2014, Uttar Pradesh, Kanpur Dehat
2015, Uttar Pradesh, Kanpur Dehat
2016, Uttar Pradesh, Kanpur Dehat
2010, Uttar Pradesh, Pilibhit
2011, Uttar Pradesh, Pilibhit
2012, Uttar Pradesh, Pilibhit
2013, Uttar Pradesh, Pilibhit
2014, Uttar Pradesh, Pilibhit
2015, Uttar Pradesh, Pilibhit
2016, Uttar Pradesh, Pilibhit
2010, Andhra Pradesh, East Godavari
2011, Andhra Pradesh, East Godavari
2012, Andhra Pradesh, East Godavari
2013, Andhra Pradesh, East Godavari
2014, Andhra Pradesh, East Godavari
2015, Andhra Pradesh, East Godavari
2016, Andhra Pradesh, East Godavari
2010, Andhra Pradesh, Guntur
2011, Andhra Pradesh, Guntur
2012, Andhra Pradesh, Guntur
2013, Andhra Pradesh, Guntur
2014, Andhra Pradesh, Guntur
2015, Andhra Pradesh, Guntur
2016, Andhra Pradesh, Guntur
2010, Andhra Pradesh, Krishna
2011, Andhra Pradesh, Krishna
2012, Andhra Pradesh, Krishna
2013, Andhra Pradesh, Krishna
2014, Andhra Pradesh, Krishna
2015, Andhra Pradesh, Krishna
2016, Andhra Pradesh, Krishna
2010, Andhra Pradesh, Nellore
2011, Andhra Pradesh, Nellore
2012, Andhra Pradesh, Nellore
2013, Andhra Pradesh, Nellore
2014, Andhra Pradesh, Nellore
2015, Andhra Pradesh, Nellore
2016, Andhra Pradesh, Nellore
2010, Andhra Pradesh, West Godavari
2011, Andhra Pradesh, West Godavari
2012, Andhra Pradesh, West Godavari
2013, Andhra Pradesh, West Godavari
2014, Andhra Pradesh, West Godavari
2015, Andhra Pradesh, West Godavari
2016, Andhra Pradesh, West Godavari
2010, Tamil Nadu, Coimbatore
2011, Tamil Nadu, Coimbatore
2012, Tamil Nadu, Coimbatore
2013, Tamil Nadu, Coimbatore
2014, Tamil Nadu, Coimbatore
2015, Tamil Nadu, Coimbatore
2016, Tamil Nadu, Coimbatore
2010, Tamil Nadu, Dindigul
2011, Tamil Nadu, Dindigul
2012, Tamil Nadu, Dindigul
2013, Tamil Nadu, Dindigul
2014, Tamil Nadu, Dindigul
2015, Tamil Nadu, Dindigul
2016, Tamil Nadu, Dindigul
2010, Tamil Nadu, Kanniyakumari
2011, Tamil Nadu, Kanniyakumari
2012, Tamil Nadu, Kanniyakumari
2013, Tamil Nadu, Kanniyakumari
2014, Tamil Nadu, Kanniyakumari
2015, Tamil Nadu, Kanniyakumari
2016, Tamil Nadu, Kanniyakumari
2010, Tamil Nadu, Theni
2011, Tamil Nadu, Theni
2012, Tamil Nadu, Theni
2013, Tamil Nadu, Theni
2014, Tamil Nadu, Theni
2015, Tamil Nadu, Theni
2016, Tamil Nadu, Theni
2010, Tamil Nadu, Tirunelveli
2011, Tamil Nadu, Tirunelveli
2012, Tamil Nadu, Tirunelveli
2013, Tamil Nadu, Tirunelveli
2014, Tamil Nadu, Tirunelveli
2015, Tamil Nadu, Tirunelveli
2016, Tamil Nadu, Tirunelveli
2010, Karnataka, Bangalore Rural
2011, Karnataka, Bangalore Rural
2012, Karnataka, Bangalore Rural
2013, Karnataka, Bangalore Rural
2014, Karnataka, Bangalore Rural
2015, Karnataka, Bangalore Rural
2016, Karnataka, Bangalore Rural
2010, Karnataka, Bellary
2011, Karnataka, Bellary
2012, Karnataka, Bellary
2013, Karnataka, Bellary
2014, Karnataka, Bellary
2015, Karnataka, Bellary
2016, Karnataka, Bellary
2010, Karnataka, Davanagere
2011, Karnataka, Davanagere
2012, Karnataka, Davanagere
2013, Karnataka, Davanagere
2014, Karnataka, Davanagere
2015, Karnataka, Davanagere
2016, Karnataka, Davanagere
2010, Karnataka, Koppal
2011, Karnataka, Koppal
2012, Karnataka, Koppal
2013, Karnataka, Koppal
2014, Karnataka, Koppal
2015, Karnataka, Koppal
2016, Karnataka, Koppal
2010, Karnataka, Mandya
2011, Karnataka, Mandya
2012, Karnataka, Mandya
2013, Karnataka, Mandya
2014, Karnataka, Mandya
2015, Karnataka, Mandya
2016, Karnataka, Mandya
2010, Punjab, Barnala
2011, Punjab, Barnala
2012, Punjab, Barnala
2013, Punjab, Barnala
2014, Punjab, Barnala
2015, Punjab, Barnala
2016, Punjab, Barnala
2010, Punjab, Fatehgarh Sahib
2011, Punjab, Fatehgarh Sahib
2012, Punjab, Fatehgarh Sahib
2013, Punjab, Fatehgarh Sahib
2014, Punjab, Fatehgarh Sahib
2015, Punjab, Fatehgarh Sahib
2016, Punjab, Fatehgarh Sahib
2010, Punjab, Ludhiana
2011, Punjab, Ludhiana
2012, Punjab, Ludhiana
2013, Punjab, Ludhiana
2014, Punjab, Ludhiana
2015, Punjab, Ludhiana
2016, Punjab, Ludhiana
2010, Punjab, Moga
2011, Punjab, Moga
2012, Punjab, Moga
2013, Punjab, Moga
2014, Punjab, Moga
2015, Punjab, Moga
2016, Punjab, Moga
2010, Punjab, Sangrur
2011, Punjab, Sangrur
2012, Punjab, Sangrur
2013, Punjab, Sangrur
2014, Punjab, Sangrur
2015, Punjab, Sangrur
2016, Punjab, Sangrur
